freq,psd_x,psd_y,psd_z,psd_xyz,zv(86.6),mzv(54.8),ei(75.4),2hump_ei(95.0),3hump_ei(115.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.997,0.993,0.993,0.992,0.991
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.993,0.983,0.984,0.981,0.980
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.989,0.971,0.973,0.969,0.966
6.3,5.902e+00,1.799e+02,4.369e+00,1.902e+02,0.984,0.956,0.960,0.954,0.950
7.9,4.483e+00,2.331e+02,3.558e+00,2.411e+02,0.978,0.939,0.944,0.937,0.933
9.5,3.369e+00,2.796e+02,3.005e+00,2.859e+02,0.971,0.920,0.927,0.919,0.913
11.1,2.903e+00,3.327e+02,2.630e+00,3.383e+02,0.963,0.898,0.908,0.898,0.892
12.7,2.672e+00,3.847e+02,2.285e+00,3.897e+02,0.955,0.874,0.888,0.876,0.868
14.3,2.649e+00,4.324e+02,2.087e+00,4.371e+02,0.946,0.849,0.865,0.852,0.843
15.9,2.640e+00,4.902e+02,2.061e+00,4.949e+02,0.936,0.821,0.841,0.826,0.817
17.5,2.710e+00,5.491e+02,1.943e+00,5.537e+02,0.925,0.792,0.816,0.799,0.789
19.0,2.277e+00,6.101e+02,1.864e+00,6.143e+02,0.914,0.761,0.789,0.771,0.761
20.6,1.717e+00,6.824e+02,1.790e+00,6.859e+02,0.902,0.729,0.762,0.742,0.731
22.2,1.720e+00,7.526e+02,1.776e+00,7.561e+02,0.890,0.696,0.733,0.712,0.700
23.8,1.779e+00,8.136e+02,1.821e+00,8.172e+02,0.876,0.662,0.703,0.681,0.668
25.4,1.804e+00,8.861e+02,1.585e+00,8.895e+02,0.862,0.626,0.672,0.649,0.636
27.0,1.665e+00,9.783e+02,1.484e+00,9.815e+02,0.848,0.590,0.640,0.617,0.604
28.6,1.474e+00,1.096e+03,1.561e+00,1.099e+03,0.832,0.553,0.608,0.585,0.571
30.1,1.436e+00,1.212e+03,1.605e+00,1.215e+03,0.817,0.516,0.576,0.552,0.538
31.7,1.338e+00,1.305e+03,1.604e+00,1.308e+03,0.800,0.479,0.543,0.519,0.505
33.3,1.653e+00,1.396e+03,1.546e+00,1.399e+03,0.783,0.441,0.510,0.486,0.473
34.9,2.174e+00,1.503e+03,1.817e+00,1.507e+03,0.765,0.403,0.477,0.454,0.440
36.5,2.944e+00,1.647e+03,2.171e+00,1.652e+03,0.747,0.366,0.444,0.421,0.409
38.1,3.979e+00,1.836e+03,2.235e+00,1.843e+03,0.729,0.329,0.412,0.390,0.377
39.7,4.576e+00,2.059e+03,2.382e+00,2.066e+03,0.709,0.293,0.379,0.358,0.347
41.3,4.715e+00,2.291e+03,2.930e+00,2.299e+03,0.690,0.257,0.347,0.328,0.317
42.8,6.397e+00,2.580e+03,3.171e+00,2.589e+03,0.669,0.223,0.316,0.298,0.288
44.4,1.098e+01,2.910e+03,3.284e+00,2.924e+03,0.649,0.189,0.286,0.270,0.260
46.0,1.625e+01,3.277e+03,3.279e+00,3.297e+03,0.628,0.157,0.256,0.242,0.234
47.6,2.458e+01,3.756e+03,3.930e+00,3.784e+03,0.606,0.126,0.228,0.216,0.209
49.2,3.939e+01,4.361e+03,5.061e+00,4.405e+03,0.584,0.096,0.200,0.190,0.185
50.8,5.196e+01,5.083e+03,6.894e+00,5.142e+03,0.562,0.068,0.174,0.166,0.162
52.4,6.624e+01,5.883e+03,6.252e+00,5.956e+03,0.539,0.048,0.149,0.144,0.141
53.9,1.253e+02,7.094e+03,2.930e+00,7.222e+03,0.516,0.037,0.126,0.123,0.121
55.5,2.178e+02,8.511e+03,5.515e+00,8.734e+03,0.493,0.035,0.104,0.104,0.104
57.1,2.952e+02,9.109e+03,2.042e+01,9.424e+03,0.469,0.043,0.083,0.086,0.088
58.7,3.429e+02,7.756e+03,3.245e+01,8.131e+03,0.446,0.055,0.065,0.070,0.074
60.3,3.760e+02,5.927e+03,3.500e+01,6.338e+03,0.421,0.072,0.048,0.056,0.062
61.9,3.665e+02,4.786e+03,3.451e+01,5.187e+03,0.397,0.087,0.034,0.044,0.052
63.5,3.142e+02,3.874e+03,3.272e+01,4.221e+03,0.372,0.100,0.024,0.035,0.045
65.1,2.976e+02,2.952e+03,4.138e+01,3.291e+03,0.348,0.110,0.020,0.030,0.040
66.6,3.225e+02,2.278e+03,6.332e+01,2.664e+03,0.323,0.119,0.022,0.027,0.037
68.2,3.464e+02,1.830e+03,9.322e+01,2.269e+03,0.298,0.126,0.027,0.028,0.037
69.8,3.271e+02,1.610e+03,1.167e+02,2.054e+03,0.273,0.131,0.032,0.030,0.037
71.4,2.812e+02,1.583e+03,1.267e+02,1.991e+03,0.247,0.133,0.036,0.033,0.038
73.0,2.621e+02,1.865e+03,1.523e+02,2.280e+03,0.222,0.133,0.039,0.035,0.039
74.6,2.190e+02,2.415e+03,1.681e+02,2.802e+03,0.197,0.131,0.040,0.037,0.040
76.2,1.360e+02,3.160e+03,1.460e+02,3.442e+03,0.172,0.127,0.039,0.038,0.040
77.7,5.946e+01,4.038e+03,1.107e+02,4.208e+03,0.147,0.122,0.037,0.038,0.040
79.3,3.741e+01,5.467e+03,9.022e+01,5.595e+03,0.122,0.114,0.033,0.038,0.039
80.9,2.894e+01,8.001e+03,1.470e+02,8.177e+03,0.102,0.104,0.031,0.036,0.037
82.5,1.220e+01,1.284e+04,3.985e+02,1.325e+04,0.085,0.096,0.029,0.034,0.035
84.1,1.344e+01,1.749e+04,6.958e+02,1.819e+04,0.071,0.091,0.028,0.031,0.032
85.7,2.058e+01,1.740e+04,7.666e+02,1.818e+04,0.063,0.086,0.029,0.028,0.030
87.3,1.951e+01,1.522e+04,6.715e+02,1.591e+04,0.063,0.083,0.032,0.024,0.026
88.9,1.806e+01,1.345e+04,6.449e+02,1.411e+04,0.070,0.081,0.037,0.020,0.023
90.4,1.782e+01,1.148e+04,5.845e+02,1.208e+04,0.083,0.081,0.045,0.016,0.020
92.0,1.583e+01,9.427e+03,5.012e+02,9.944e+03,0.099,0.084,0.054,0.012,0.017
93.6,1.336e+01,7.810e+03,4.547e+02,8.278e+03,0.116,0.090,0.071,0.011,0.014
95.2,9.746e+00,6.559e+03,4.150e+02,6.984e+03,0.140,0.099,0.088,0.011,0.012
96.8,6.134e+00,5.629e+03,4.068e+02,6.042e+03,0.164,0.110,0.107,0.011,0.012
98.4,2.858e+00,4.799e+03,3.866e+02,5.189e+03,0.187,0.122,0.126,0.013,0.013
100.0,2.041e+00,4.115e+03,3.662e+02,4.483e+03,0.211,0.137,0.147,0.016,0.015
101.5,2.827e+00,3.516e+03,3.894e+02,3.908e+03,0.234,0.160,0.167,0.020,0.017
103.1,6.575e+00,2.976e+03,4.031e+02,3.386e+03,0.257,0.186,0.189,0.023,0.019
104.7,1.362e+01,2.617e+03,3.547e+02,2.985e+03,0.280,0.212,0.211,0.026,0.022
106.3,1.933e+01,2.373e+03,3.687e+02,2.761e+03,0.302,0.239,0.233,0.029,0.024
107.9,2.454e+01,2.116e+03,4.185e+02,2.559e+03,0.325,0.265,0.255,0.030,0.026
109.5,2.805e+01,1.855e+03,4.208e+02,2.304e+03,0.346,0.292,0.277,0.032,0.028
111.1,2.708e+01,1.554e+03,4.143e+02,1.995e+03,0.368,0.318,0.300,0.032,0.029
112.7,2.723e+01,1.282e+03,3.869e+02,1.696e+03,0.389,0.344,0.322,0.031,0.030
114.2,2.782e+01,1.112e+03,4.020e+02,1.541e+03,0.409,0.369,0.344,0.030,0.030
115.8,2.908e+01,1.019e+03,4.211e+02,1.469e+03,0.430,0.394,0.366,0.028,0.030
117.4,2.466e+01,9.033e+02,3.822e+02,1.310e+03,0.449,0.417,0.388,0.027,0.029
119.0,1.543e+01,7.516e+02,2.581e+02,1.025e+03,0.469,0.440,0.408,0.027,0.028
120.6,1.557e+01,7.450e+02,2.226e+02,9.831e+02,0.488,0.462,0.429,0.027,0.027
122.2,1.705e+01,7.604e+02,2.653e+02,1.043e+03,0.506,0.483,0.448,0.028,0.025
123.8,2.297e+01,7.636e+02,2.744e+02,1.061e+03,0.524,0.503,0.467,0.029,0.023
125.3,2.841e+01,7.115e+02,2.839e+02,1.024e+03,0.541,0.521,0.485,0.031,0.021
126.9,3.014e+01,6.539e+02,2.979e+02,9.820e+02,0.558,0.539,0.502,0.034,0.018
128.5,3.205e+01,6.004e+02,2.960e+02,9.284e+02,0.574,0.554,0.518,0.038,0.015
130.1,3.357e+01,5.337e+02,2.643e+02,8.315e+02,0.590,0.569,0.533,0.043,0.014
131.7,3.033e+01,4.343e+02,1.949e+02,6.596e+02,0.605,0.582,0.547,0.048,0.013
133.3,1.355e+01,1.751e+02,8.248e+01,2.712e+02,0.620,0.593,0.560,0.061,0.012
134.9,2.138e+00,1.267e+01,1.757e+01,3.238e+01,0.634,0.602,0.571,0.074,0.012
136.5,1.293e+00,3.810e+00,1.392e+01,1.902e+01,0.647,0.610,0.581,0.088,0.012
138.0,1.191e+00,3.241e+00,1.336e+01,1.779e+01,0.660,0.617,0.590,0.103,0.013
139.6,1.151e+00,2.683e+00,1.237e+01,1.620e+01,0.672,0.621,0.598,0.118,0.013
141.2,1.113e+00,2.339e+00,1.166e+01,1.511e+01,0.684,0.624,0.604,0.134,0.014
142.8,1.092e+00,2.453e+00,1.099e+01,1.453e+01,0.695,0.626,0.608,0.150,0.016
144.4,1.120e+00,3.069e+00,1.117e+01,1.536e+01,0.706,0.625,0.612,0.167,0.018
146.0,1.163e+00,3.820e+00,1.076e+01,1.574e+01,0.715,0.623,0.614,0.184,0.021
147.6,1.241e+00,4.606e+00,9.284e+00,1.513e+01,0.724,0.619,0.614,0.201,0.022
149.1,1.441e+00,5.598e+00,7.931e+00,1.497e+01,0.733,0.614,0.613,0.218,0.024
150.7,1.715e+00,6.720e+00,6.446e+00,1.488e+01,0.741,0.607,0.611,0.236,0.025
152.3,2.430e+00,8.906e+00,5.598e+00,1.694e+01,0.748,0.598,0.607,0.253,0.025
153.9,3.368e+00,1.197e+01,5.383e+00,2.072e+01,0.755,0.589,0.602,0.271,0.025
155.5,3.717e+00,1.462e+01,5.051e+00,2.338e+01,0.760,0.577,0.596,0.288,0.024
157.1,3.743e+00,1.439e+01,5.886e+00,2.402e+01,0.766,0.564,0.588,0.304,0.023
158.7,5.104e+00,1.512e+01,8.582e+00,2.881e+01,0.770,0.550,0.579,0.321,0.024
160.3,6.601e+00,1.650e+01,9.683e+00,3.279e+01,0.774,0.535,0.569,0.337,0.024
161.8,5.715e+00,1.283e+01,9.005e+00,2.755e+01,0.778,0.519,0.558,0.352,0.025
163.4,5.096e+00,8.980e+00,8.304e+00,2.238e+01,0.780,0.502,0.545,0.367,0.026
165.0,4.886e+00,7.842e+00,8.017e+00,2.075e+01,0.782,0.483,0.532,0.381,0.027
166.6,4.491e+00,7.738e+00,8.637e+00,2.087e+01,0.783,0.464,0.518,0.395,0.029
168.2,5.068e+00,7.668e+00,1.018e+01,2.292e+01,0.784,0.444,0.503,0.407,0.031
169.8,5.356e+00,6.651e+00,1.247e+01,2.447e+01,0.784,0.424,0.487,0.419,0.033
171.4,4.565e+00,4.893e+00,1.155e+01,2.101e+01,0.783,0.403,0.470,0.430,0.036
172.9,4.241e+00,4.017e+00,9.282e+00,1.754e+01,0.782,0.381,0.452,0.440,0.039
174.5,6.287e+00,5.055e+00,1.349e+01,2.483e+01,0.780,0.360,0.434,0.448,0.043
176.1,1.042e+01,7.057e+00,1.813e+01,3.561e+01,0.778,0.338,0.416,0.456,0.053
177.7,1.298e+01,8.129e+00,1.618e+01,3.728e+01,0.774,0.316,0.397,0.463,0.063
179.3,1.623e+01,1.067e+01,1.309e+01,3.999e+01,0.771,0.294,0.377,0.468,0.075
180.9,1.862e+01,1.298e+01,1.354e+01,4.514e+01,0.766,0.272,0.358,0.473,0.086
182.5,2.032e+01,1.745e+01,1.446e+01,5.223e+01,0.761,0.251,0.338,0.476,0.098
184.1,2.190e+01,2.323e+01,1.601e+01,6.114e+01,0.755,0.230,0.318,0.478,0.111
185.6,2.322e+01,2.910e+01,1.571e+01,6.803e+01,0.749,0.219,0.299,0.479,0.124
187.2,2.317e+01,3.130e+01,1.454e+01,6.901e+01,0.742,0.210,0.279,0.479,0.137
188.8,2.353e+01,3.132e+01,1.397e+01,6.882e+01,0.735,0.202,0.259,0.477,0.150
190.4,2.401e+01,3.061e+01,1.335e+01,6.798e+01,0.727,0.195,0.240,0.475,0.164
192.0,2.521e+01,3.351e+01,1.248e+01,7.120e+01,0.718,0.188,0.221,0.471,0.177
193.6,3.067e+01,4.471e+01,1.295e+01,8.833e+01,0.709,0.181,0.203,0.466,0.191
195.2,3.482e+01,5.466e+01,1.296e+01,1.024e+02,0.700,0.176,0.185,0.460,0.205
196.7,3.268e+01,5.714e+01,1.163e+01,1.014e+02,0.690,0.171,0.167,0.453,0.218
198.3,3.188e+01,6.150e+01,1.127e+01,1.047e+02,0.679,0.166,0.158,0.445,0.231
199.9,3.249e+01,6.659e+01,1.169e+01,1.108e+02,0.668,0.163,0.151,0.437,0.244
