freq,psd_x,psd_y,psd_z,psd_xyz,zv(44.4),mzv(41.4),ei(50.6),2hump_ei(65.0),3hump_ei(78.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.990,0.989,0.987,0.986
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.975,0.973,0.970,0.967
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.972,0.957,0.953,0.948,0.943
6.4,3.085e+00,4.961e+00,1.892e+02,1.972e+02,0.956,0.933,0.928,0.921,0.915
7.9,2.845e+00,3.914e+00,2.258e+02,2.326e+02,0.938,0.906,0.899,0.891,0.882
9.5,2.390e+00,2.993e+00,2.474e+02,2.528e+02,0.917,0.876,0.867,0.857,0.846
11.1,2.108e+00,2.491e+00,3.048e+02,3.094e+02,0.894,0.841,0.831,0.820,0.807
12.7,1.940e+00,2.630e+00,3.933e+02,3.979e+02,0.868,0.804,0.791,0.780,0.765
14.3,2.068e+00,2.579e+00,5.184e+02,5.231e+02,0.839,0.764,0.750,0.737,0.720
15.9,1.977e+00,2.301e+00,6.749e+02,6.792e+02,0.808,0.721,0.705,0.693,0.674
17.5,1.612e+00,2.037e+00,7.512e+02,7.548e+02,0.775,0.676,0.659,0.646,0.627
19.1,1.632e+00,1.887e+00,8.082e+02,8.117e+02,0.739,0.630,0.612,0.599,0.578
20.6,1.631e+00,1.912e+00,8.959e+02,8.994e+02,0.702,0.582,0.563,0.551,0.530
22.2,1.618e+00,2.012e+00,9.915e+02,9.951e+02,0.663,0.533,0.514,0.503,0.481
23.8,1.625e+00,1.844e+00,1.104e+03,1.108e+03,0.622,0.483,0.465,0.456,0.433
25.4,1.396e+00,1.735e+00,1.259e+03,1.262e+03,0.579,0.434,0.416,0.409,0.386
27.0,1.941e+00,1.650e+00,1.412e+03,1.416e+03,0.535,0.384,0.368,0.363,0.341
28.6,2.487e+00,1.521e+00,1.575e+03,1.579e+03,0.490,0.335,0.321,0.318,0.297
30.2,2.296e+00,1.741e+00,1.822e+03,1.826e+03,0.444,0.287,0.276,0.276,0.256
31.8,1.936e+00,1.852e+00,2.177e+03,2.180e+03,0.396,0.240,0.233,0.235,0.218
33.3,1.361e+00,2.148e+00,2.616e+03,2.620e+03,0.348,0.195,0.192,0.197,0.182
34.9,9.964e-01,2.960e+00,3.171e+03,3.175e+03,0.299,0.152,0.154,0.162,0.149
36.5,1.820e+00,4.182e+00,3.899e+03,3.905e+03,0.250,0.112,0.119,0.130,0.120
38.1,5.459e+00,4.299e+00,4.976e+03,4.985e+03,0.201,0.074,0.087,0.102,0.094
39.7,2.191e+01,3.870e+00,6.784e+03,6.810e+03,0.152,0.047,0.060,0.077,0.073
41.3,9.742e+01,6.433e+00,9.274e+03,9.378e+03,0.107,0.035,0.037,0.056,0.056
42.9,2.369e+02,1.524e+01,1.030e+04,1.055e+04,0.075,0.040,0.022,0.039,0.044
44.5,3.185e+02,1.978e+01,8.841e+03,9.179e+03,0.062,0.057,0.021,0.030,0.038
46.0,3.607e+02,1.597e+01,6.697e+03,7.073e+03,0.077,0.078,0.028,0.028,0.037
47.6,4.031e+02,1.111e+01,4.742e+03,5.156e+03,0.108,0.096,0.035,0.030,0.038
49.2,4.758e+02,7.283e+00,3.293e+03,3.776e+03,0.152,0.111,0.039,0.034,0.039
50.8,5.943e+02,5.582e+00,2.261e+03,2.861e+03,0.198,0.122,0.040,0.037,0.040
52.4,6.211e+02,8.125e+00,1.486e+03,2.115e+03,0.244,0.129,0.036,0.038,0.040
54.0,6.767e+02,1.959e+01,9.661e+02,1.662e+03,0.288,0.133,0.031,0.038,0.038
55.6,8.423e+02,3.041e+01,5.564e+02,1.429e+03,0.331,0.133,0.029,0.036,0.035
57.2,9.989e+02,4.053e+01,3.453e+02,1.385e+03,0.373,0.129,0.028,0.032,0.031
58.7,1.146e+03,5.355e+01,3.007e+02,1.501e+03,0.414,0.121,0.032,0.028,0.027
60.3,1.252e+03,7.215e+01,3.108e+02,1.635e+03,0.453,0.111,0.042,0.022,0.022
61.9,1.263e+03,7.120e+01,3.363e+02,1.671e+03,0.490,0.098,0.057,0.016,0.017
63.5,1.172e+03,4.815e+01,3.702e+02,1.590e+03,0.525,0.091,0.082,0.012,0.013
65.1,1.045e+03,3.083e+01,4.045e+02,1.480e+03,0.558,0.085,0.110,0.011,0.012
66.7,1.048e+03,2.543e+01,4.954e+02,1.569e+03,0.590,0.081,0.139,0.012,0.013
68.3,1.074e+03,2.365e+01,6.050e+02,1.703e+03,0.619,0.081,0.170,0.016,0.016
69.9,1.053e+03,1.884e+01,6.838e+02,1.755e+03,0.646,0.085,0.202,0.021,0.020
71.4,9.633e+02,1.247e+01,7.123e+02,1.688e+03,0.670,0.095,0.235,0.026,0.023
73.0,8.740e+02,8.449e+00,7.197e+02,1.602e+03,0.693,0.109,0.268,0.029,0.026
74.6,7.832e+02,6.076e+00,6.869e+02,1.476e+03,0.713,0.126,0.302,0.031,0.029
76.2,7.080e+02,4.369e+00,6.633e+02,1.376e+03,0.730,0.149,0.335,0.032,0.030
77.8,6.516e+02,3.070e+00,6.284e+02,1.283e+03,0.745,0.183,0.368,0.030,0.030
79.4,6.243e+02,2.546e+00,6.209e+02,1.248e+03,0.758,0.218,0.399,0.027,0.029
81.0,5.998e+02,2.977e+00,6.254e+02,1.228e+03,0.768,0.254,0.430,0.027,0.028
82.6,5.395e+02,4.913e+00,5.796e+02,1.124e+03,0.776,0.289,0.459,0.027,0.025
84.2,4.402e+02,7.651e+00,4.841e+02,9.319e+02,0.781,0.323,0.486,0.028,0.022
85.7,3.308e+02,1.024e+01,3.583e+02,6.994e+02,0.784,0.357,0.511,0.031,0.018
87.3,2.200e+02,1.235e+01,2.275e+02,4.598e+02,0.784,0.390,0.534,0.036,0.014
88.9,1.524e+02,1.666e+01,1.446e+02,3.136e+02,0.782,0.421,0.554,0.042,0.013
